Date	DS0	Run
2011-05-26 19:44:19	6.875	1306431859
2011-05-26 20:18:05	6.875	1306433885
2011-05-26 21:34:25	6.875	1306438465
2011-05-26 22:04:18	6.875	1306440258
2011-05-26 23:01:59	6.875	1306443719
2011-05-27 00:10:54	6.875	1306447854
2011-05-27 00:42:20	6.875	1306449740
2011-05-27 01:06:16	6.875	1306451176
2011-05-27 01:19:52	6.875	1306451992
2011-05-27 02:18:24	6.875	1306455504
2011-05-27 02:33:01	6.875	1306456381
2011-05-27 02:56:19	7.5208	1306457779
2011-05-27 03:25:05	7.5	1306459505
2011-05-27 03:52:00	7.5	1306461120
2011-05-27 04:00:32	7.5	1306461632
2011-05-27 04:32:23	7.5	1306463543
2011-05-27 04:38:53	7.5	1306463933
2011-05-27 04:52:15	7.5	1306464735
2011-05-27 05:33:49	7.5	1306467229
2011-05-27 06:38:38	7.5	1306471118
2011-05-27 07:23:49	7.5	1306473829
2011-05-27 07:52:29	7.5	1306475549
2011-05-27 08:14:52	7.5	1306476892
2011-05-27 09:16:12	7.5	1306480572
2011-05-27 09:24:16	7.5	1306481056
2011-05-27 09:49:43	7.5	1306482583
2011-05-27 09:58:12	7.5	1306483092
2011-05-27 10:33:10	7.5	1306485190
2011-05-27 10:43:35	7.5	1306485815
2011-05-27 10:55:59	7.5	1306486559
2011-05-27 11:04:52	7.5	1306487092
2011-05-27 12:12:09	7.5	1306491129
2011-05-27 12:26:58	7.5	1306492018
2011-05-27 12:43:03	7.5	1306492983
2011-05-27 12:55:10	7.5	1306493710
2011-05-27 13:41:28	7.5	1306496488
2011-05-27 13:52:17	7.5	1306497137
2011-05-27 14:20:56	7.5	1306498856
2011-05-27 14:36:16	8.125	1306499776
2011-05-27 14:40:08	8.3297	1306500008
2011-05-27 15:10:31	8.8237	1306501831
2011-05-27 15:41:23	8.3775	1306503683
2011-05-27 16:11:46	8.4569	1306505506
2011-05-27 16:42:39	8.8458	1306507359
2011-05-27 17:13:03	8.3772	1306509183
2011-05-27 17:43:56	8.2063	1306511036
2011-05-27 17:56:01	8.4663	1306511761
2011-05-27 18:10:45	8.8556	1306512645
2011-05-27 18:41:08	8.3102	1306514468
2011-05-27 19:12:01	8.1184	1306516321
2011-05-27 19:41:25	8.7847	1306518085
2011-05-27 20:11:49	8.2961	1306519909
2011-05-27 20:42:41	8.1875	1306521761
2011-05-27 21:15:00	8.6629	1306523700
2011-05-27 21:45:24	8.112	1306525524
2011-05-27 22:16:16	8.2429	1306527376
2011-05-27 22:53:49	8.4557	1306529629
2011-05-27 23:24:12	7.976	1306531452
2011-05-27 23:55:05	8.2388	1306533305
2011-05-28 00:25:28	8.4688	1306535128
2011-05-28 00:44:04	8.0506	1306536244
2011-05-28 01:10:58	7.7974	1306537858
2011-05-28 01:41:22	8.5094	1306539682
2011-05-28 02:11:26	7.9701	1306541486
2011-05-28 02:41:49	7.7625	1306543309
2011-05-28 02:53:15	7.9241	1306543995
2011-05-28 03:23:38	8.5	1306545818
2011-05-28 03:42:14	7.9107	1306546934
2011-05-28 04:12:37	7.7083	1306548757
2011-05-28 04:19:54	7.75	1306549194
2011-05-28 04:50:18	8.4866	1306551018
2011-05-28 05:04:36	8.1875	1306551876
2011-05-28 05:19:12	7.7589	1306552752
2011-05-28 05:49:35	7.6379	1306554575
2011-05-28 06:20:27	8.2833	1306556427
2011-05-28 06:50:50	7.6896	1306558250
2011-05-28 07:21:42	7.5893	1306560102
2011-05-28 07:52:05	8.225	1306561925
2011-05-28 08:22:56	7.6573	1306563776
2011-05-28 08:53:19	7.5797	1306565599
2011-05-28 09:24:11	8.2236	1306567451
2011-05-28 09:54:35	7.6312	1306569275
2011-05-28 10:25:26	7.597	1306571126
2011-05-28 10:55:49	8.2155	1306572949
2011-05-28 11:26:42	7.6616	1306574802
2011-05-28 11:57:05	7.6652	1306576625
2011-05-28 12:27:58	8.2407	1306578478
2011-05-28 12:58:21	7.6853	1306580301
2011-05-28 13:29:12	7.713	1306582152
2011-05-28 13:59:36	8.2681	1306583976
2011-05-28 14:30:27	7.7037	1306585827
2011-05-28 15:00:50	7.7143	1306587650
2011-05-28 15:31:44	8.2321	1306589504
2011-05-28 16:02:07	7.6481	1306591327
2011-05-28 16:32:59	7.625	1306593179
2011-05-28 17:14:51	7.96	1306595691
2011-05-28 17:45:15	7.5312	1306597515
2011-05-28 18:16:07	7.4375	1306599367
2011-05-28 18:49:05	7.7909	1306601345
2011-05-28 19:19:28	7.4432	1306603168
2011-05-28 20:31:57	7.5085	1306607517
2011-05-28 21:02:21	7.7951	1306609341
2011-05-28 23:16:03	7.8021	1306617363
2011-05-28 23:46:26	7.3173	1306619186
2011-05-29 00:17:19	7.6645	1306621039
2011-05-29 01:03:01	7.4495	1306623781
2011-05-29 01:33:24	7.222	1306625604
2011-05-29 02:04:15	7.9701	1306627455
2011-05-29 02:30:02	7.4732	1306629002
2011-05-29 03:00:25	7.2366	1306630825
2011-05-29 03:15:38	7.4279	1306631738
2011-05-29 03:46:01	7.8708	1306633561
2011-05-29 04:04:59	7.3966	1306634699
2011-05-29 04:35:22	7.1587	1306636522
2011-05-29 04:52:54	7.5692	1306637574
2011-05-29 05:23:17	7.7768	1306639397
2011-05-29 05:37:39	7.3438	1306640259
2011-05-29 06:08:02	7.1418	1306642082
2011-05-29 06:38:54	7.588	1306643934
2011-05-29 08:44:31	7.2825	1306651471
2011-05-29 09:14:55	7.1808	1306653295
2011-05-29 09:45:50	7.8897	1306655150
2011-05-29 10:09:29	7.3661	1306656569
2011-05-29 10:39:52	7.1278	1306658392
2011-05-29 11:10:45	7.8058	1306660245
2011-05-29 11:41:09	7.355	1306662069
2011-05-29 12:12:01	7.1319	1306663921
2011-05-29 12:42:25	7.8297	1306665745
2011-05-29 13:13:15	7.3575	1306667595
2011-05-29 13:43:39	7.1576	1306669419
2011-05-29 14:14:31	7.8571	1306671271
2011-05-29 14:44:54	7.3795	1306673094
2011-05-29 15:15:47	7.1562	1306674947
2011-05-29 16:01:31	7.8438	1306677691
2011-05-29 16:32:27	7.1875	1306679547
2011-05-29 16:53:38	7.1042	1306680818
2011-05-29 18:40:08	7.5278	1306687208
2011-05-29 19:11:07	7.5625	1306689067
2011-05-29 19:22:26	7.2656	1306689746
2011-05-29 19:52:50	7.125	1306691570
2011-05-29 20:00:53	7.0391	1306692053
2011-05-29 20:11:12	7.596	1306692672
2011-05-29 20:41:36	7.6029	1306694496
2011-05-29 21:02:09	7.1632	1306695729
2011-05-29 21:32:32	7.3312	1306697552
2011-05-29 22:02:43	7.6983	1306699363
2011-05-29 22:33:06	7.2065	1306701186
2011-05-29 23:03:58	7.338	1306703038
2011-05-29 23:34:21	7.8068	1306704861
2011-05-30 00:05:13	7.226	1306706713
2011-05-30 00:35:36	7.4286	1306708536
2011-05-30 01:06:30	7.776	1306710390
2011-05-30 01:36:53	7.2292	1306712213
2011-05-30 02:07:45	7.4353	1306714065
2011-05-30 02:38:09	7.875	1306715889
2011-05-30 02:54:55	7.4152	1306716895
2011-05-30 03:25:18	7.1759	1306718718
2011-05-30 03:56:11	7.8728	1306720571
2011-05-30 04:27:43	7.42	1306722463
2011-05-30 04:58:07	7.2031	1306724287
2011-05-30 05:28:59	7.0648	1306726139
2011-05-30 05:59:23	6.7546	1306727963
2011-05-30 06:30:14	6.5938	1306729814
2011-05-30 07:00:38	6.3815	1306731638
2011-05-30 07:31:30	6.3241	1306733490
2011-05-30 08:01:53	6.3942	1306735313
2011-05-30 08:32:47	6.1406	1306737167
2011-05-30 09:03:10	6.0417	1306738990
2011-05-30 09:34:02	6.112	1306740842
2011-05-30 10:17:09	5.7146	1306743429
2011-05-30 10:47:32	5.9771	1306745252
2011-05-30 11:18:23	5.9021	1306747103
2011-05-30 11:48:46	5.7232	1306748926
2011-05-30 11:56:02	5.4784	1306749362
2011-05-30 12:22:33	5.8625	1306750953
2011-05-30 12:52:56	5.8875	1306752776
2011-05-30 13:23:48	5.5667	1306754628
2011-05-30 13:54:12	5.9597	1306756452
2011-05-30 14:25:03	5.9771	1306758303
2011-05-30 14:55:27	5.6979	1306760127
2011-05-30 15:26:18	6.1312	1306761978
2011-05-30 15:56:42	6.1063	1306763802
2011-05-30 16:27:35	5.825	1306765655
2011-05-30 16:57:58	6.2258	1306767478
2011-05-30 17:28:50	6.2674	1306769330
2011-05-30 17:46:15	6.0812	1306770375
2011-05-30 18:16:38	6.1646	1306772198
2011-05-30 18:47:31	6.4162	1306774051
2011-05-30 20:23:06	6.5568	1306779786
2011-05-30 20:57:07	6.3271	1306781827
2011-05-30 21:27:30	6.6562	1306783650
2011-05-30 21:58:21	6.7229	1306785501
2011-05-30 22:28:45	6.4771	1306787325
2011-05-30 22:59:37	6.8021	1306789177
2011-05-30 23:30:00	6.8508	1306791000
2011-05-31 00:00:54	6.5708	1306792854
2011-05-31 00:31:17	6.9208	1306794677
2011-05-31 01:02:09	6.9247	1306796529
2011-05-31 01:42:10	6.725	1306798930
2011-05-31 02:12:33	7.0786	1306800753
2011-05-31 02:43:24	7.006	1306802604
2011-05-31 03:15:11	6.8625	1306804511
2011-05-31 03:45:35	7.1562	1306806335
2011-05-31 04:16:27	7.0821	1306808187
2011-05-31 04:51:52	7.0354	1306810312
2011-05-31 05:22:16	7.2681	1306812136
2011-05-31 05:53:09	7.1638	1306813989
2011-05-31 06:23:32	7.1633	1306815812
2011-05-31 06:54:24	7.3729	1306817664
2011-05-31 07:24:47	7.2625	1306819487
2011-05-31 07:55:40	7.2438	1306821340
2011-05-31 08:26:03	7.4415	1306823163
2011-05-31 08:56:56	7.4279	1306825016
2011-05-31 09:10:18	7.154	1306825818
